"Phase","ID","Name","Status","Severity","Detail"
"Regression","REG-01.1","SM CRUD: Create","WARN","Critical","HTTP 400 - Validation: "
"Regression","REG-01.2","SM CRUD: Read","SKIP","Critical","No data"
"Regression","REG-01.3","SM CRUD: Update","SKIP","Critical","No ID to update"
"Regression","REG-01.4","SM CRUD: Verify update","SKIP","High","No ID"
"Regression","REG-01.5","SM CRUD: Delete","SKIP","Critical","No ID"
"Regression","REG-01.6","SM CRUD: Verify delete","SKIP","High","No ID"
"Regression","REG-02.1","Search: Basic keyword","PASS","High","Found 20 results for 'surat'"
"Regression","REG-02.2","Filter: Year 2026","PASS","High","Filter applied"
"Regression","REG-02.3","Search: Empty = All","PASS","Medium","Both return  total"
"Regression","REG-02.4","Search: Case insensitive","PASS","Medium","UPPERCASE found 20 results"
"Regression","REG-03.1","Pagination: Page 1","PASS","High","2 items, total 0"
"Regression","REG-03.2","Pagination: Page 2","SKIP","High","Not enough data"
"Regression","REG-03.3","Pagination: Limit=1","PASS","Medium","Returns 1 item"
"Regression","REG-04.1","Auth: Session valid","PASS","Critical","Session active"
"Regression","REG-04.2","Auth: Invalid login rejected","PASS","Critical","HTTP 401 - Rejected"
"Regression","REG-04.3","Auth: Empty login rejected","PASS","High","HTTP 400"
"Regression","REG-05.1","Distribution: Inbox loads","PASS","High","Inbox OK"
"Regression","REG-05.2","Distribution: Outbox loads","PASS","High","Outbox OK"
"Regression","REG-05.3","Distribution: Units list","PASS","High","8 units available"
"Regression","REG-06.1","Master: Klasifikasi list","PASS","High","627 records"
"Regression","REG-06.2","Master: JRA list","PASS","High","257 records"
"Regression","REG-06.3","Master: Storage locations","PASS","Medium","Loaded"
"Regression","REG-06.4","Master: Users list","PASS","High","Loaded"
"Regression","REG-07.1","Dashboard: Stats shape","PASS","High","10 fields: totalMasuk, totalKeluar, totalArsip, arsipMasuk, arsipKeluar, segmenKadaluarsa, masukBulanIni, keluarBulanIni, monthlyTrend, statusBreakdown"
"Regression","REG-08.1","Notifications: List","PASS","Medium","Loaded OK"
"Regression","REG-08.2","Notifications: Unread count","WARN","Medium","HTTP 404"
"Regression","REG-09.1","Reports: Summary","PASS","High","2026 report OK"
"Regression","REG-09.2","Reports: Previous year","PASS","Medium","2025 report OK"
"Regression","REG-10.1","Audit: Log entries","PASS","High","34 entries"
"Regression","REG-11.1","Retention: Summary","PASS","High","OK"
"Regression","REG-11.2","Retention: Candidates","PASS","High","OK"
"Regression","REG-12.1","Supervision: Activity","PASS","Medium","OK"
"Regression","REG-12.2","Supervision: Users","PASS","Medium","OK"
"Regression","REG-13.1","Consistency: Dashboard=SM total","WARN","Medium","Could not compare (missing fields)"
"Performance","PERF-01.1","RT: Health Check","PASS","Medium","7ms avg / 7ms max (threshold: 100ms)"
"Performance","PERF-01.2","RT: SM List (10)","PASS","Medium","278ms avg / 301ms max (threshold: 500ms)"
"Performance","PERF-01.3","RT: SM List (50)","PASS","Medium","305ms avg / 363ms max (threshold: 1000ms)"
"Performance","PERF-01.4","RT: Dashboard Stats","WARN","Medium","1541ms avg (threshold: 800ms)"
"Performance","PERF-01.5","RT: Klasifikasi (627 records)","PASS","Medium","268ms avg / 283ms max (threshold: 1000ms)"
"Performance","PERF-01.6","RT: JRA (257 records)","PASS","Medium","226ms avg / 275ms max (threshold: 800ms)"
"Performance","PERF-01.7","RT: Distribution Inbox","PASS","Medium","217ms avg / 219ms max (threshold: 500ms)"
"Performance","PERF-01.8","RT: Retention Summary","PASS","Medium","179ms avg / 180ms max (threshold: 800ms)"
"Performance","PERF-01.9","RT: Report Summary","PASS","Medium","502ms avg / 509ms max (threshold: 1000ms)"
"Performance","PERF-01.10","RT: Notifications","PASS","Medium","222ms avg / 224ms max (threshold: 500ms)"
"Performance","PERF-01.11","RT: Audit Log","PASS","Medium","183ms avg / 205ms max (threshold: 800ms)"
"Performance","PERF-01.12","RT: Supervision Activity","PASS","Medium","177ms avg / 178ms max (threshold: 800ms)"
"Performance","PERF-01.AVG","RT: Overall Average","PASS","High","342ms average across 12 endpoints"
"Performance","PERF-02.C5","Concurrent: 5x requests","FAIL","High","5/5 failed!"
"Performance","PERF-02.C10","Concurrent: 10x requests","FAIL","High","10/10 failed!"
"Performance","PERF-02.C20","Concurrent: 20x requests","FAIL","High","20/20 failed!"
"Performance","PERF-03.1","Stress: Large list (100)","PASS","Medium","76819 bytes in 287ms"
"Performance","PERF-03.2","Stress: Full Klasifikasi","PASS","Medium","176171 bytes in 306ms"
"Performance","PERF-03.3","Stress: Dashboard stats","PASS","Medium","1463ms"
"Performance","PERF-04.1","Sequential: 20x requests","PASS","High","Avg 224ms, Min/Max: 218/246ms, Degradation: 1.2%"
"Performance","PERF-05.1","Size: SM 10 items","PASS","Low","7.8KB"
"Performance","PERF-05.2","Size: Klasifikasi full","PASS","Low","172KB"
"Performance","PERF-05.3","Size: JRA full","PASS","Low","63.9KB"
"Performance","PERF-05.4","Size: Dashboard","PASS","Low","0.7KB"
"Performance","PERF-06.1","Auth: Login speed","PASS","High","295ms avg"
